recorded_date_time,timezone,sensor_name_serial_number,gain_setting,battery_voltage,tempeature_celcius
2021-01-19T21:21:00Z,UTC,AudioMoth 24E144085F256717,medium,4.3,5.3
2021-01-19T21:26:00Z,UTC,AudioMoth 24E144085F256717,medium,4.3,5
2021-01-19T21:31:00Z,UTC,AudioMoth 24E144085F256717,medium,4.3,5.2
2021-01-19T21:36:00Z,UTC,AudioMoth 24E144085F256717,medium,4.3,5.8
2021-01-19T21:41:00Z,UTC,AudioMoth 24E144085F256717,medium,4.3,5
2021-01-19T21:46:00Z,UTC,AudioMoth 24E144085F256717,medium,4.3,5.2
2021-01-19T21:51:00Z,UTC,AudioMoth 24E144085F256717,medium,4.3,5.2
2021-01-19T21:56:00Z,UTC,AudioMoth 24E144085F256717,medium,4.3,5.3
2021-01-19T22:01:00Z,UTC,AudioMoth 24E144085F256717,medium,4.3,5.3
2021-01-19T22:06:00Z,UTC,AudioMoth 24E144085F256717,medium,4.3,5.6
2021-01-19T22:11:00Z,UTC,AudioMoth 24E144085F256717,medium,4.3,5.5
2021-01-19T22:16:00Z,UTC,AudioMoth 24E144085F256717,medium,4.3,5.8
2021-01-19T22:21:00Z,UTC,AudioMoth 24E144085F256717,medium,4.3,5.2
2021-01-19T22:26:00Z,UTC,AudioMoth 24E144085F256717,medium,4.3,5.5
2021-01-19T22:31:00Z,UTC,AudioMoth 24E144085F256717,medium,4.3,5.3
2021-01-19T22:36:00Z,UTC,AudioMoth 24E144085F256717,medium,4.3,5.8
2021-01-19T22:41:00Z,UTC,AudioMoth 24E144085F256717,medium,4.3,5.6
2021-01-19T22:46:00Z,UTC,AudioMoth 24E144085F256717,medium,4.3,4.8
2021-01-19T22:51:00Z,UTC,AudioMoth 24E144085F256717,medium,4.3,5.3
2021-01-19T22:56:00Z,UTC,AudioMoth 24E144085F256717,medium,4.3,5.8
2021-01-19T23:01:00Z,UTC,AudioMoth 24E144085F256717,medium,4.3,5.3
2021-01-19T23:06:00Z,UTC,AudioMoth 24E144085F256717,medium,4.3,5
2021-01-19T23:11:00Z,UTC,AudioMoth 24E144085F256717,medium,4.3,5
2021-01-19T23:16:00Z,UTC,AudioMoth 24E144085F256717,medium,4.3,5.5
2021-01-19T23:21:00Z,UTC,AudioMoth 24E144085F256717,medium,4.3,5
2021-01-19T23:26:00Z,UTC,AudioMoth 24E144085F256717,medium,4.3,5
2021-01-19T23:31:00Z,UTC,AudioMoth 24E144085F256717,medium,4.3,5.3
2021-01-19T23:36:00Z,UTC,AudioMoth 24E144085F256717,medium,4.3,5
2021-01-19T23:41:00Z,UTC,AudioMoth 24E144085F256717,medium,4.3,5.3
2021-01-19T23:46:00Z,UTC,AudioMoth 24E144085F256717,medium,4.3,4.2
2021-01-19T23:51:00Z,UTC,AudioMoth 24E144085F256717,medium,4.3,5
2021-01-19T23:56:00Z,UTC,AudioMoth 24E144085F256717,medium,4.3,5.5
2021-01-20T00:00:00Z,UTC,AudioMoth 24E144085F256717,medium,4.3,4.7
2021-01-20T00:05:00Z,UTC,AudioMoth 24E144085F256717,medium,4.3,5.2
2021-01-20T00:10:00Z,UTC,AudioMoth 24E144085F256717,medium,4.3,5
2021-01-20T00:15:00Z,UTC,AudioMoth 24E144085F256717,medium,4.3,4.7
2021-01-20T00:20:00Z,UTC,AudioMoth 24E144085F256717,medium,4.3,4.8
2021-01-20T00:25:00Z,UTC,AudioMoth 24E144085F256717,medium,4.3,5
